seconds_into_session,source,message_type,incoming_message,price,size,direction,Event_Type,Ask_Price_1,Bid_Price_1,Midprice,Ask_Prices,Ask_Sizes,Bid_Prices,Bid_Sizes,matched_bid_id,matched_ask_id,informed_trader_progress
0.0,BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1",1999,1,1,1,,1999,,[],[],[1999],[1],,,
0.053,BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1",1999,1,1,1,,1999,,[],[],[1999],[2],,,
0.106,BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1",1999,1,1,1,,1999,,[],[],[1999],[3],,,
0.157,BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1",1999,1,1,1,,1999,,[],[],[1999],[4],,,
0.209,BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1",1998,1,1,1,,1999,,[],[],"[1999, 1998]","[4, 1]",,,
0.254,BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1",1998,1,1,1,,1999,,[],[],"[1999, 1998]","[4, 2]",,,
0.301,BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1",1998,1,1,1,,1999,,[],[],"[1999, 1998]","[4, 3]",,,
0.347,BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1",1998,1,1,1,,1999,,[],[],"[1999, 1998]","[4, 4]",,,
0.393,BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1",1997,1,1,1,,1999,,[],[],"[1999, 1998, 1997]","[4, 4, 1]",,,
0.44,BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1",1997,1,1,1,,1999,,[],[],"[1999, 1998, 1997]","[4, 4, 2]",,,
0.488,BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1",1997,1,1,1,,1999,,[],[],"[1999, 1998, 1997]","[4, 4, 3]",,,
0.532,BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1",1997,1,1,1,,1999,,[],[],"[1999, 1998, 1997]","[4, 4, 4]",,,
0.579,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 1]",,,
0.624,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 2]",,,
0.675,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 3]",,,
0.721,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 4]",,,
0.772,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 5]",,,
0.826,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 6]",,,
0.871,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 7]",,,
0.919,BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1",1996,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996]","[4, 4, 4, 8]",,,
0.967,BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1",1995,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 1]",,,
1.012,BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1",1995,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 2]",,,
1.058,BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1",1995,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 3]",,,
1.105,BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1",1995,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 4]",,,
1.152,BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1",1995,1,1,1,,1999,,[],[],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.198,BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1",2001,1,-1,1,2001,1999,2000.0,[2001],[1],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.251,BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1",2001,1,-1,1,2001,1999,2000.0,[2001],[2],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.296,BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1",2001,1,-1,1,2001,1999,2000.0,[2001],[3],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.342,BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1",2001,1,-1,1,2001,1999,2000.0,[2001],[4],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.388,BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1",2001,1,-1,1,2001,1999,2000.0,[2001],[5],"[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.433,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 1]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.481,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 2]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.528,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 3]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.572,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 4]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.615,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 5]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.661,BOOK_INITIALIZER,ADDED_ORDER,"2002,1,-1",2002,1,-1,1,2001,1999,2000.0,"[2001, 2002]","[5, 6]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.712,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 1]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.758,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 2]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.807,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 3]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.85,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 4]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.909,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 5]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.954,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 6]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
1.998,BOOK_INITIALIZER,ADDED_ORDER,"2003,1,-1",2003,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003]","[5, 6, 7]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
2.04,BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1",2004,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003, 2004]","[5, 6, 7, 1]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
2.086,BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1",2004,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003, 2004]","[5, 6, 7, 2]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
2.129,BOOK_INITIALIZER,ADDED_ORDER,"2004,1,-1",2004,1,-1,1,2001,1999,2000.0,"[2001, 2002, 2003, 2004]","[5, 6, 7, 3]","[1999, 1998, 1997, 1996, 1995]","[4, 4, 4, 8, 5]",,,
