source,message_type,incoming_message,order_book_str,seconds_into_session,total_orders,total_cancellations,total_buy_orders,total_sell_orders,num_trades,total_volume,avg_price,avg_spread,avg_midpoint,order_book_imbalance,avg_trade_size,trade_frequency,order_fill_rate,cancellation_rate,price_volatility
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 1.0}], ""asks"": []}",0.0,1,0,1,0,0,,,,,1.0,,NaN,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}], ""asks"": []}",0.06,2,0,2,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 1.0}], ""asks"": []}",0.11,3,0,3,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 2.0}], ""asks"": []}",0.15,4,0,4,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 3.0}], ""asks"": []}",0.2,5,0,5,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 4.0}], ""asks"": []}",0.25,6,0,6,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 5.0}], ""asks"": []}",0.3,7,0,7,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 6.0}], ""asks"": []}",0.34,8,0,8,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 7.0}], ""asks"": []}",0.38,9,0,9,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}], ""asks"": []}",0.43,10,0,10,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 1.0}], ""asks"": []}",0.47,11,0,11,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 2.0}], ""asks"": []}",0.52,12,0,12,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 3.0}], ""asks"": []}",0.56,13,0,13,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 4.0}], ""asks"": []}",0.6,14,0,14,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 5.0}], ""asks"": []}",0.65,15,0,15,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 6.0}], ""asks"": []}",0.69,16,0,16,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}], ""asks"": []}",0.74,17,0,17,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 1.0}], ""asks"": []}",0.8,18,0,18,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 2.0}], ""asks"": []}",0.84,19,0,19,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": []}",0.89,20,0,20,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": []}",0.94,21,0,21,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 2.0}], ""asks"": []}",0.99,22,0,22,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 3.0}], ""asks"": []}",1.05,23,0,23,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 4.0}], ""asks"": []}",1.09,24,0,24,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 5.0}], ""asks"": []}",1.14,25,0,25,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 6.0}], ""asks"": []}",1.18,26,0,26,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}, {""x"": 1998.0, ""y"": 8.0}, {""x"": 1997.0, ""y"": 7.0}, {""x"": 1996.0, ""y"": 3.0}, {""x"": 1995.0, ""y"": 7.0}], ""asks"": []}",1.24,27,0,27,0,0,,,,,1.0,,0.0,0.0,0.0,
