source,message_type,incoming_message,order_book_str,seconds_into_session,total_orders,total_cancellations,total_buy_orders,total_sell_orders,num_trades,total_volume,avg_price,avg_spread,avg_midpoint,order_book_imbalance,avg_trade_size,trade_frequency,order_fill_rate,cancellation_rate,price_volatility
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 1.0}], ""asks"": []}",0.0,1,0,1,0,0,,,,,1.0,,NaN,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 2.0}], ""asks"": []}",0.08,2,0,2,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 3.0}], ""asks"": []}",0.13,3,0,3,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 4.0}], ""asks"": []}",0.17,4,0,4,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 5.0}], ""asks"": []}",0.22,5,0,5,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 6.0}], ""asks"": []}",0.25,6,0,6,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 7.0}], ""asks"": []}",0.3,7,0,7,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 8.0}], ""asks"": []}",0.35,8,0,8,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 9.0}], ""asks"": []}",0.39,9,0,9,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 10.0}], ""asks"": []}",0.44,10,0,10,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1999,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}], ""asks"": []}",0.48,11,0,11,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 1.0}], ""asks"": []}",0.53,12,0,12,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 2.0}], ""asks"": []}",0.58,13,0,13,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 3.0}], ""asks"": []}",0.64,14,0,14,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1998,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}], ""asks"": []}",0.69,15,0,15,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 1.0}], ""asks"": []}",0.74,16,0,16,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 2.0}], ""asks"": []}",0.79,17,0,17,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 3.0}], ""asks"": []}",0.83,18,0,18,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 4.0}], ""asks"": []}",0.87,19,0,19,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 5.0}], ""asks"": []}",0.92,20,0,20,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1997,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}], ""asks"": []}",0.96,21,0,21,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 1.0}], ""asks"": []}",1.01,22,0,22,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 2.0}], ""asks"": []}",1.05,23,0,23,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 3.0}], ""asks"": []}",1.11,24,0,24,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 4.0}], ""asks"": []}",1.15,25,0,25,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 5.0}], ""asks"": []}",1.2,26,0,26,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 6.0}], ""asks"": []}",1.24,27,0,27,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1996,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}], ""asks"": []}",1.33,28,0,28,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 1.0}], ""asks"": []}",1.57,29,0,29,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 2.0}], ""asks"": []}",1.63,30,0,30,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 3.0}], ""asks"": []}",1.75,31,0,31,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 4.0}], ""asks"": []}",1.84,32,0,32,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 5.0}], ""asks"": []}",2.14,33,0,33,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 6.0}], ""asks"": []}",2.23,34,0,34,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"1995,1,1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 7.0}], ""asks"": []}",2.28,35,0,35,0,0,,,,,1.0,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 7.0}], ""asks"": [{""x"": 2001.0, ""y"": 1.0}]}",2.55,36,0,35,1,0,,,,,0.94,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 7.0}], ""asks"": [{""x"": 2001.0, ""y"": 2.0}]}",2.6,37,0,35,2,0,,,,,0.89,,0.0,0.0,0.0,
BOOK_INITIALIZER,ADDED_ORDER,"2001,1,-1","{""bids"": [{""x"": 1999.0, ""y"": 11.0}, {""x"": 1998.0, ""y"": 4.0}, {""x"": 1997.0, ""y"": 6.0}, {""x"": 1996.0, ""y"": 7.0}, {""x"": 1995.0, ""y"": 7.0}], ""asks"": [{""x"": 2001.0, ""y"": 3.0}]}",2.65,38,0,35,3,0,,,2.0,2000.0,0.84,,0.0,0.0,0.0,
